num_qubits,depth,depth_multiplier,entanglement,noise_type,error_rate,observable_name,x_noisy,x_ideal
4,6,1,linear,depolarizing,0.001,ZZZZ,-0.08455006366527396,-0.10261356774231542
4,6,1,linear,depolarizing,0.005,ZZZZ,0.14994175186526115,0.24001353240401344
4,6,1,linear,depolarizing,0.01,ZZZZ,-0.002169232721775473,-0.12256042800778409
4,6,1,linear,depolarizing,0.02,ZZZZ,-0.02429706945218054,-0.18986145426702464
4,6,1,linear,depolarizing,0.05,ZZZZ,-0.0023993138535563993,0.10835430754248464
4,6,1,linear,amplitude_damping,0.001,ZZZZ,-0.02182050253030028,-0.021820502530299976
4,6,1,linear,amplitude_damping,0.005,ZZZZ,-0.2735649938103967,-0.27356499381039656
4,6,1,linear,amplitude_damping,0.01,ZZZZ,0.08391020510968096,0.10281079088798133
4,6,1,linear,amplitude_damping,0.02,ZZZZ,-0.09900947150832318,-0.20216621978550894
4,6,1,linear,amplitude_damping,0.05,ZZZZ,0.1075532926173137,0.23374443002820283
4,6,1,full,depolarizing,0.001,ZZZZ,0.05926494454269582,0.08765611277719866
4,6,1,full,depolarizing,0.005,ZZZZ,0.03406314719384819,0.2625782380769748
4,6,1,full,depolarizing,0.01,ZZZZ,-0.03355720668852161,-0.06969634304984829
4,6,1,full,depolarizing,0.02,ZZZZ,-1.6299682718337594e-06,-0.004786008732052472
4,6,1,full,depolarizing,0.05,ZZZZ,4.274194865282188e-06,0.08902706486946355
4,6,1,full,amplitude_damping,0.001,ZZZZ,-0.2796770333939373,-0.2829558182789992
4,6,1,full,amplitude_damping,0.005,ZZZZ,0.11093057313993851,0.12720150203539266
4,6,1,full,amplitude_damping,0.01,ZZZZ,0.0017344701156267739,0.003408100658627941
4,6,1,full,amplitude_damping,0.02,ZZZZ,-0.20073863507101447,-0.24013966641618295
4,6,1,full,amplitude_damping,0.05,ZZZZ,-0.005784359583925869,-0.07033781297012752
4,6,1,circular,depolarizing,0.001,ZZZZ,0.024611053828205415,0.030558418301660922
4,6,1,circular,depolarizing,0.005,ZZZZ,-0.14675483770455006,-0.24187392567851304
4,6,1,circular,depolarizing,0.01,ZZZZ,0.032961790414001754,0.380589094033437
4,6,1,circular,depolarizing,0.02,ZZZZ,4.3407689765399826e-05,0.23418730981441993
4,6,1,circular,depolarizing,0.05,ZZZZ,-5.160282461767057e-05,0.08180262934804294
4,6,1,circular,amplitude_damping,0.001,ZZZZ,-0.1990818199240839,-0.2002883299760279
4,6,1,circular,amplitude_damping,0.005,ZZZZ,0.2545622798636948,0.28262902926598615
4,6,1,circular,amplitude_damping,0.01,ZZZZ,0.29622131628503934,0.3854745016646262
4,6,1,circular,amplitude_damping,0.02,ZZZZ,0.3580825557854367,0.3580825557854367
4,6,1,circular,amplitude_damping,0.05,ZZZZ,0.04179946143695694,0.0595578104198843
4,8,1,linear,depolarizing,0.001,ZZZZ,-0.22741823868739552,-0.2616772259413364
4,8,1,linear,depolarizing,0.005,ZZZZ,0.08138673307698685,0.2682396674476649
4,8,1,linear,depolarizing,0.01,ZZZZ,2.531755510108702e-05,0.002931743640048015
4,8,1,linear,depolarizing,0.02,ZZZZ,-0.02004138486775213,-0.12069774321004167
4,8,1,linear,depolarizing,0.05,ZZZZ,-0.00013982029154887415,-0.3851627787966771
4,8,1,linear,amplitude_damping,0.001,ZZZZ,0.06788436000204784,0.06788436000204763
4,8,1,linear,amplitude_damping,0.005,ZZZZ,-0.2604244774745946,-0.2931511275076648
4,8,1,linear,amplitude_damping,0.01,ZZZZ,0.028282016788966635,0.03937105382077674
4,8,1,linear,amplitude_damping,0.02,ZZZZ,0.24994955235757707,0.49998059433248265
4,8,1,linear,amplitude_damping,0.05,ZZZZ,0.14687022523407073,0.19673214767354708
4,8,1,full,depolarizing,0.001,ZZZZ,-0.2193255608136131,-0.253229440137326
4,8,1,full,depolarizing,0.005,ZZZZ,-0.0548463079733318,-0.09587724259147133
4,8,1,full,depolarizing,0.01,ZZZZ,0.0001950952287761501,0.004667987022435829
4,8,1,full,depolarizing,0.02,ZZZZ,-9.896114129548383e-09,-0.02345148506380282
4,8,1,full,depolarizing,0.05,ZZZZ,1.298301938387758e-07,0.01751689399481869
4,8,1,full,amplitude_damping,0.001,ZZZZ,-0.024064773529377192,-0.024622495613162584
4,8,1,full,amplitude_damping,0.005,ZZZZ,-0.0358935812036518,-0.042052533405186554
4,8,1,full,amplitude_damping,0.01,ZZZZ,0.11990560465779584,0.11990560465779553
4,8,1,full,amplitude_damping,0.02,ZZZZ,-0.013122470022064368,-0.02550187980439432
4,8,1,full,amplitude_damping,0.05,ZZZZ,0.07376592709980458,0.07376592709980437
4,8,1,circular,depolarizing,0.001,ZZZZ,-0.06084118598577548,-0.10251874827038909
4,8,1,circular,depolarizing,0.005,ZZZZ,0.03444612304655025,0.13736061049013615
4,8,1,circular,depolarizing,0.01,ZZZZ,0.0020166057722941708,0.049548658895747555
4,8,1,circular,depolarizing,0.02,ZZZZ,0.0005124919377076445,0.013304002240105181
4,8,1,circular,depolarizing,0.05,ZZZZ,-7.312227767730661e-10,-0.04220129164447811
